Prop_ID,Name,Location,Zip
M107,Wards Island Park,East River and Hell Gate,10035
Q131,Frank Principe Park,"Maurice Ave., 63 St. bet. 54 Ave. and Borden Ave.",11378
M105,Sara D. Roosevelt Park,E. Houston St. To Canal St. bet. Chrystie St. and Forsyth St.,10002
Q130,Motor Parkway,"Winchester Blvd., 210 St. bet. 77 Ave. and Kingsbury Ave.",11364
M104,Randall's Island Park,East River and Harlem River,10035
M103,Tony Dapolito Recreation Center,"Carmine St. and Clarkson St., 7 Ave.",10014
M101,Worth Square,"Broadway, 5 Ave., W. 24 St. to W. 25 St.",10010
M100,McNally Plaza,"Amsterdam Av, W 182 St Laurel Hill Terrace",10040
Q128,London Planetree Playground,"Atlantic Ave., 95 Ave. bet. 88 St., 89 St.",11416
Q129,Phil "Scooter" Rizzuto Park,"Atlantic Ave., 95 Ave. bet. 127 St. and 125 St.",11419
Q126,Francis Lewis Park,3 Ave. bet. Parsons Blvd and 147 St.,11357
Q127,Marconi Park,"157 St., 155 St. bet. 108 Ave. and 109 Ave.",11433
Q124,Myrtle Avenue Clemens Triangle,"Myrtle Ave., Cypress Ave., Putnam Ave.",11385
Q122,Junction Playground,34 Ave. bet. 96 St. and Junction Blvd.,11372
Q123,Astoria Health Playground,14 St. bet. 31 Ave. and 31 Dr.,11106
M116,ABC Playground,"Essex St., Norfolk St. and Houston St.",10002
Q141,Murray Playground,"45 Ave., 45 Rd. bet. 11 St. and 21 St.",11101
Q140,Barclay Triangle,102 St. bet. Astoria Blvd. and 31 Ave.,11369
Q142,Jacob Riis Triangle,"Bessemer St., 116 St., 85 Ave.",11418
M110,William McCray Playground,"W. 138 St., bet. Lenox Ave. and 5 Ave.",10037
M111,James Weldon Johnson Playground,E. 115 St. bet. 3 Ave. and Lexington Ave.,10029
M113,Joseph C. Sauer Park,E. 12 St. bet. Ave. A and Ave. B,10009
Q137,Columbus Square,"Astoria Blvd S., Hoyt Ave. S. bet. 31 St. and 32 St.",11103
Q139,Drumm Triangle,"Cypress Hills St., Cooper Ave., 65 Pl.",11385
Q133,Pat Williams Playground,"Hempstead Ave., 225 St. and 224 St. Cross Island Parkway Exit at 225 St.",11429
Q134,Breininger Park,240 St. bet. Braddock Ave. and Fairbury Ave.,11426
Q135,Cross Island Parkway,Whitestone Exwy. at 13 Ave. to the Linden Blvd and the Belt Pkwy.,"11003, 11357, 11359, 11360, 11361, 11362, 11364, 1"
